mid,name,type,address,lat,lng,region
56,화곡중앙시장,상설장,서울특별시 강서구 월정로 30길 66,37.53488481,126.8395077,서울
57,신월중앙시장,상설장,서울특별시 강서구 강서로 5나길 109,37.52796836,126.8419096,서울
58,남부골목시장,상설장,서울특별시 강서구 등촌로5길 62-4,37.53318098,126.8600236,서울
59,남부화곡시장,상설장,서울특별시 강서구 등촌로5길 80,37.53307159,126.858949,서울
60,까치산시장,상설장,서울특별시 강서구 강서로 12길 14,37.53152613,126.8478644,서울
61,대원종합시장,상설장,서울특별시 강서구 화곡로21길 78(건물형),37.54448531,126.8364885,서울
62,답십리시장,상설장,서울특별시 동대문구 답십리로51길 4-1,37.57315455,127.0586943,서울
63,창동골목시장,상설장,서울특별시 도봉구 덕릉로58길 16,37.63840333,127.0391448,서울
64,창동신창시장,상설장,서울특별시 도봉구 덕릉로 57길 17,37.639431,127.0374459,서울
65,백운시장,상설장,서울특별시 도봉구 삼양로154길 30,37.65549577,127.0148796,서울
66,쌍문시장,상설장,서울특별시 도봉구 도봉로113길 20,37.6483701,127.0329744,서울
67,방학동도깨비시장,상설장,서울특별시 도봉구 도당로13가길 17,37.6659383,127.0362011,서울
68,신도봉시장,상설장,서울특별시 도봉구 도당로19길 68,37.67001862,127.0397055,서울
69,대명여울빛거리시장,상설장,서울특별시 금천구 시흥대로 212,37.45277209,126.9016513,서울
70,비단길현대시장,상설장,서울특별시 금천구 독산로 27길 52,37.45772129,126.9048774,서울
71,별빛남문시장,상설장,서울특별시 금천구 시흥대로 144길 17,37.47374661,126.9004255,서울
72,구로시장,상설장,서울특별시 구로구 구로동로22길 17-4,37.48963599,126.8856144,서울
73,남구로시장,상설장,서울특별시 구로구 구로동로26길 41,37.49020442,126.8864389,서울
74,고척골목시장상점가,상설장,서울특별시 구로구 중앙로10길 8,37.50336999,126.862737,서울
75,고척근린시장,상설장,서울특별시 구로구 고척로 40길 19,37.50195711,126.8511138,서울
76,가리봉시장,상설장,서울특별시 구로구 우마3길 15,37.48167439,126.8890749,서울
77,신성골목시장,상설장,서울특별시 광진구 영화사로 16,37.55776458,127.0890249,서울
78,화양제일골목시장,상설장,서울특별시 광진구 아차산로29길 59,37.54348798,127.0692963,서울
79,중곡제일전통시장(중곡제일시장),상설장,서울특별시 광진구 긴고랑로11길 14,37.56387861,127.081743,서울
80,자양전통시장,상설장,서울특별시 광진구 뚝섬로47길 45-2,37.53438165,127.0791991,서울
81,영동교골목시장,상설장,서울특별시 광진구 동일로10길 47,37.53751723,127.0642105,서울
82,노룬산골목시장,상설장,서울특별시 광진구 뚝섬로25길 6,37.53636333,127.065341,서울
83,한아름시장,상설장,서울특별시 광진구 능동로13길 39,37.54396524,127.0697607,서울
84,연희사러가,상설장,서울특별시 서대문구 연희맛로 23,37.56714756,126.9296631,서울
85,아현시장,상설장,서울특별시 마포구 굴레방로7길 8,37.55640684,126.9550922,서울
86,마포농수산물시장,상설장,서울특별시 마포구 월드컵로 235,37.56519673,126.8984816,서울
